WGT,WGT^2,WGT^3,WGT^4,WGT^5,WGT^6,WGT^7,WGT^8,ALT,ALT^2,ALT^3,ALT^4,ALT^5,ALT^6,ALT^7,ALT^8,ROC
2223937.501,4.9459E+12,1.09994E+19,2.44619E+25,5.44018E+31,1.20986E+38,2.69066E+44,5.98385E+50,8658,74960964,6.49012E+11,5.61915E+15,4.86506E+19,4.21217E+23,3.64689E+27,3.15748E+31,2534
2223504.379,4.94397E+12,1.09929E+19,2.44429E+25,5.43488E+31,1.20845E+38,2.68699E+44,5.97453E+50,9105,82901025,7.54814E+11,6.87258E+15,6.25748E+19,5.69744E+23,5.18752E+27,4.72324E+31,2502
2223070.259,4.94204E+12,1.09865E+19,2.44238E+25,5.42958E+31,1.20703E+38,2.68332E+44,5.96521E+50,9553,91259809,8.71805E+11,8.32835E+15,7.95608E+19,7.60044E+23,7.2607E+27,6.93615E+31,2470
2222634.203,4.9401E+12,1.098E+19,2.44046E+25,5.42425E+31,1.20561E+38,2.67964E+44,5.95585E+50,10000,100000000,1E+12,1E+16,1E+20,1E+24,1E+28,1E+32,2437
2221328.082,4.9343E+12,1.09607E+19,2.43473E+25,5.40833E+31,1.20137E+38,2.66863E+44,5.92791E+50,10000,100000000,1E+12,1E+16,1E+20,1E+24,1E+28,1E+32,2569
2220192.029,4.92925E+12,1.09439E+19,2.42975E+25,5.39452E+31,1.19769E+38,2.65909E+44,5.9037E+50,11180,124992400,1.39742E+12,1.56231E+16,1.74666E+20,1.95277E+24,2.1832E+28,2.44081E+32,2473
2219041.293,4.92414E+12,1.09269E+19,2.42472E+25,5.38055E+31,1.19397E+38,2.64946E+44,5.87927E+50,12360,152769600,1.88823E+12,2.33386E+16,2.88464E+20,3.56542E+24,4.40686E+28,5.44688E+32,2375
2217873.913,4.91896E+12,1.09096E+19,2.41962E+25,5.36642E+31,1.1902E+38,2.63972E+44,5.85457E+50,13540,183331600,2.48231E+12,3.36105E+16,4.55086E+20,6.16186E+24,8.34316E+28,1.12966E+33,2275
2216686.95,4.9137E+12,1.08921E+19,2.41445E+25,5.35207E+31,1.18639E+38,2.62985E+44,5.82955E+50,14720,216678400,3.18951E+12,4.69495E+16,6.91097E+20,1.01729E+25,1.49746E+29,2.20426E+33,2174
2215479.422,4.90835E+12,1.08743E+19,2.40919E+25,5.33751E+31,1.18251E+38,2.61984E+44,5.80419E+50,15900,252810000,4.01968E+12,6.39129E+16,1.01622E+21,1.61578E+25,2.56909E+29,4.08486E+33,2077
