// NON PREADJUSTED,,,,
WGT,WGT^2,ALT,ALT^2,ROC
2072438.591,4.29500E+12,361,130321,2564
2072251.888,4.29423E+12,523,273529,2556
2072065.185,4.29345E+12,686,470596,2548
2071878.482,4.29268E+12,849,720801,2540
2071691.779,4.29191E+12,1012,1024144,2531
2071505.077,4.29113E+12,1174,1378276,2523
2071318.374,4.29036E+12,1337,1787569,2515
2071131.671,4.28959E+12,1500,2250000,2507
2069693.081,4.28363E+12,1500,2250000,3347
2069322.625,4.28210E+12,1947,3790809,3320
2068952.169,4.28056E+12,2395,5736025,3292
2068580.731,4.27903E+12,2842,8076964,3265
2068210.276,4.27749E+12,3289,10817521,3237
2067839.821,4.27596E+12,3737,13965169,3208
2067469.366,4.27443E+12,4184,17505856,3180
2067098.912,4.27290E+12,4632,21455424,3151
2066728.457,4.27137E+12,5079,25796241,3122
2066357.021,4.26983E+12,5526,30536676,3091
2065985.585,4.26830E+12,5974,35688676,3059
2065614.149,4.26676E+12,6421,41229241,3028
2065241.73,4.26522E+12,6868,47169424,2996
2064869.312,4.26369E+12,7316,53523856,2963
2064495.912,4.26214E+12,7763,60264169,2931
2064122.511,4.26060E+12,8211,67420521,2897
2063748.129,4.25906E+12,8658,74960964,2864
2063372.764,4.25751E+12,9105,82901025,2830
2062996.417,4.25595E+12,9553,91259809,2796
2062619.087,4.25440E+12,10000,100000000,2761
2061507.735,4.24981E+12,10000,100000000,2837
2060474.013,4.24555E+12,11213,125731369,2733
2059428.501,4.24125E+12,12425,154380625,2626
2058369.235,4.23688E+12,13638,185995044,2517
2057292.284,4.23245E+12,14850,220522500,2407
2056197.648,4.22795E+12,16063,258019969,2298
2055083.362,4.22337E+12,17275,298425625,2199
2053948.443,4.21870E+12,18488,341806144,2098
2052788.962,4.21394E+12,19701,388129401,1996
2051602.953,4.20907E+12,20913,437353569,1898
2050387.469,4.20409E+12,22126,489559876,1801
2049139.562,4.19897E+12,23338,544662244,1704
2047854.318,4.19371E+12,24551,602751601,1610
2046527.809,4.18828E+12,25763,663732169,1511
2045152.174,4.18265E+12,26976,727704576,1410
2043720.534,4.17679E+12,28188,794563344,1310
2042223.065,4.17068E+12,29401,864418801,1211
2040646.011,4.16424E+12,30614,937216996,1105
2038967.755,4.15739E+12,31826,1012894276,995
2037161.77,4.15003E+12,33039,1091575521,891
2037161.77,4.15003E+12,33039,1091575521,1302
2036996.696,4.14936E+12,33195,1101908025,1286
2036829.658,4.14868E+12,33350,1112222500,1270
2036661.637,4.14799E+12,33506,1122652036,1253
2036492.633,4.14730E+12,33662,1133130244,1237
2036321.665,4.14661E+12,33818,1143657124,1220
2036149.713,4.14591E+12,33974,1154232676,1203
2035976.78,4.14520E+12,34130,1164856900,1186
2035801.881,4.14449E+12,34286,1175529796,1168
2035625.017,4.14377E+12,34441,1186182481,1150
2035447.17,4.14305E+12,34597,1196952409,1133
2035267.359,4.14231E+12,34753,1207771009,1114
2035085.582,4.14157E+12,34909,1218638281,1096
2034901.84,4.14083E+12,35065,1229554225,1075
2034716.134,4.14007E+12,35221,1240518841,1051
2034526.497,4.13930E+12,35377,1251532129,1027
2034334.895,4.13852E+12,35532,1262523024,1003
2034139.362,4.13772E+12,35688,1273633344,978
2033940.882,4.13692E+12,35844,1284792336,953
2033738.472,4.13609E+12,36000,1296000000,928
1972874.591,3.89223E+12,36000,1296000000,1012
1972738.029,3.89170E+12,36105,1303571025,899
1972593.608,3.89113E+12,36211,1311236521,883
1972447.222,3.89055E+12,36316,1318851856,866
1972297.889,3.88996E+12,36421,1326489241,850
1972147.573,3.88937E+12,36526,1334148676,833
1971994.31,3.88876E+12,36632,1341903424,817
1971839.082,3.88815E+12,36737,1349607169,800
1971680.907,3.88753E+12,36842,1357332964,783
1971520.767,3.88689E+12,36947,1365080809,765
1971357.679,3.88625E+12,37053,1372924809,748
1971190.662,3.88559E+12,37158,1380716964,730
1971021.68,3.88493E+12,37263,1388531169,712
1970848.768,3.88424E+12,37368,1396367424,694
1970672.909,3.88355E+12,37474,1404300676,676
1970493.12,3.88284E+12,37579,1412181241,658
1970308.419,3.88212E+12,37684,1420083856,639
1970119.788,3.88137E+12,37789,1428008521,620
1969927.228,3.88061E+12,37895,1436031025,601
1969728.773,3.87983E+12,38000,1444000000,582
1790923.331,3.20741E+12,38000,1444000000,875
1790788.782,3.20692E+12,38105,1451991025,857
1790652.269,3.20644E+12,38211,1460080521,839
1790513.792,3.20594E+12,38316,1468115856,822
1790372.368,3.20543E+12,38421,1476173241,803
1790228.981,3.20492E+12,38526,1484252676,785
1790083.629,3.20440E+12,38632,1492431424,767
1789934.348,3.20386E+12,38737,1500555169,748
1789783.104,3.20332E+12,38842,1508700964,729
1789628.913,3.20277E+12,38947,1516868809,711
1789471.776,3.20221E+12,39053,1525136809,694
1789311.693,3.20164E+12,39158,1533348964,679
1789148.663,3.20105E+12,39263,1541583169,664
1788982.687,3.20046E+12,39368,1549839424,649
1788812.783,3.19985E+12,39474,1558196676,633
